,0
165,-0.005778710827430977
166,-0.005908979263071545
167,0.009532048189801356
168,0.001195854350252601
169,-0.014818867384525203
170,-0.030494904575869675
171,-0.0119156122700107
172,-0.012047492431942142
173,0.01063644676559461
174,-0.02787285930176031
175,0.013475404602604657
176,-0.012749622525395465
177,0.008467653900498417
178,0.0028942152088922146
179,-0.013268589950528042
180,0.006565063069072341
181,0.004516434159712146
182,0.03909406021207995
183,-0.007061725609019964
184,0.008128947840573275
185,0.004489207297908138
186,0.007815489629273031
187,0.005446231264916834
188,-0.012424972905117682
189,0.020868587755551227
190,0.01691971213172927
191,0.0009022111050667192
192,0.0026433886930403716
193,-0.0070677367630817
194,0.007271086704094598
195,0.002633557613255455
196,0.010213827786560215
197,0.005604686015292959
198,0.012830114209631427
199,-0.010196995300894574
200,0.01342992212930727
201,-0.030473158220535868
202,-0.012666179665041466
203,0.022819506054364114
204,-0.018812836185680193
205,0.007187351467276448
206,-0.0097436779214215
207,0.009861360587983148
208,0.010220152814162775
209,0.0293924636513756
210,-0.030467205599085667
211,-0.030469342766145657
212,-0.030490794488645223
213,0.017710330731003143
214,0.031427072966797365
215,0.011424891043499752
216,-0.0030758970772859495
217,0.013596800638770112
218,0.016714255817734225
219,0.0029200441378112174
220,-0.007046849301516223
221,0.0037616059435623406
222,-0.03407075655306169
223,-0.0052864979511113575
224,0.006171005119730344
225,0.009290201783040741
226,-0.03049261879690568
227,-0.03049778220544941
228,0.05946179132531726
229,-0.022112930997858826
230,-0.004105724370710884
231,0.017210087331448687
232,0.004323637019435944
233,0.034173922877069884
234,-0.01260783176222946
235,0.059459759354465236
236,0.006701487373862447
237,0.022842175901645057
238,0.027826706517669386
239,-0.0023938564014944763
240,0.0010738211203678016
241,0.011056626067957431
242,0.008500510661614058
243,-0.009423581897087918
244,-0.020678330329044092
245,0.009168992495468986
246,0.0021209672530186907
247,-0.03048704686914605
248,-0.030486182206858725
249,-0.030474615415631567
250,-0.03048591354643504
251,-0.005655084333337057
252,0.04894253372834445
253,-0.019412434183736504
254,0.0033892848006531473
255,-0.0022218416280144204
256,0.006536341673819113
257,0.03336877775272651
258,-0.030490455620244106
259,0.050668591336831215
260,-0.03048980705405202
261,0.03837785533952065
262,0.00590670611193711
263,-0.030487708137327485
264,-0.010271151792087707
265,-0.030476482539297467
266,-0.015760209190474717
267,0.015009983413374117
268,0.004057070142215791
269,0.015453280774963885
270,0.016453357631667442
271,0.01792133410034502
272,-0.0024244043434223927
273,0.009511533723112642
274,-0.0027805486760269504
275,-0.005409381049663264
276,-0.0028251363153902753
277,0.0005557947857968148
278,0.03272899404641327
279,0.0033786539984823616
280,-0.002130462904230135
281,-0.004204921246950266
282,0.015806494901974943
283,0.00628322296947692
284,0.0004220019269847164
285,-0.0304865331496027
286,0.02457694961536694
287,0.018434351261051862
288,-0.018942028826217427
289,0.001650525024665006
290,0.011236178976438804
291,-0.02444094810560904
292,0.022021384507187047
293,-0.004397796814720523
294,0.019181122286489716
295,-0.03047980546404172
296,0.0010570878138784767
297,0.034264801235984965
298,0.013210512388517115
